amico,amica
bambino,bambina
cugino,cugina
fidanzato,fidanzata
figlio,figlia
gatto,gatta
nonno,nonna
ragazzo,ragazza
signore,signora
suocero,suocera
zio,zia
compagno,compagna
segretario,segretaria
cavallo,cavalla
questo,questa
quello,quella
tutto,tutta
suo,sua
altro,altra
mio,mia
tanto,tanta
poco,poca
nostro,nostra
stesso,stessa
primo,prima
proprio,propria
solo,sola
quanto,quanta
bello,bella
nuovo,nuova
vero,vera
buono,buona
tuo,tua
nessuno,nessuna
alcuno,alcuna
italiano,italiana
ultimo,ultima
vecchio,vecchia
piccolo,piccola
alto,alta
vostro,vostra
diverso,diversa
povero,povera
secondo,seconda
lontano,lontana
vicino,vicina
caro,cara
pieno,piena
nero,nera
bianco,bianca
latino,latina
sereno,serena
puro,pura
perfetto,perfetta
russo,russa
continuo,continua
stupido,stupida
estremo,estrema
grigio,grigia
religioso,religiosa
ampio,ampia
biondo,bionda
attento,attenta
minimo,minima
privato,privata
rapido,rapida
quarto,quarta
pericoloso,pericolosa
giallo,gialla
pazzo,pazza
sacro,sacra
comodo,comoda
elettrico,elettrica
assoluto,assoluta
cristiano,cristiana
antico,antica
rosso,rossa
chiaro,chiara
unico,unica
sicuro,sicura
vario,varia
giusto,giusta
vivo,viva
ricco,ricca
grosso,grossa
necessario,necessaria
libero,libera
basso,bassa
pubblico,pubblica
freddo,fredda
tedesco,tedesca
pronto,pronta
serio,seria
terzo,terza
caldo,calda
estero,estera
largo,larga
romano,romana
umano,umana
moderno,moderna
numeroso,numerosa
fresco,fresca
americano,americana
vuoto,vuota
ciascuno,ciascuna
tranquillo,tranquilla
contento,contenta
storico,storica
fermo,ferma
solito,solita
buio,buia
strano,strana
noto,nota
prossimo,prossima
profondo,profonda
cattivo,cattiva
massimo,massima
intero,intera
bravo,brava
preciso,precisa
famoso,famosa
straniero,straniera
interno,interna
vasto,vasta
segreto,segreta
greco,greca
duro,dura
stanco,stanca
azzurro,azzurra
cittadino,cittadina
destro,destra
europeo,europea
medio,media
straordinario,straordinaria
nudo,nuda
cattolico,cattolica
leggero,leggera
contrario,contraria
